date,time,items,languages,collections,authors,pages
2026-02-13,23:29:53,7406,15,42,1500,798412
2026-02-12,23:41:17,7403,15,42,1499,797543
2026-02-11,23:42:34,7403,15,42,1499,797543
2026-02-10,23:45:10,7403,15,42,1499,797543
2026-02-09,23:38:10,7386,15,42,1493,795199
2026-02-08,23:19:25,7386,15,42,1493,795199
2026-02-07,23:17:40,7386,15,42,1493,795199
2026-02-06,23:32:40,7386,15,42,1493,795199
2026-02-05,23:37:43,7381,15,42,1492,794234
2026-02-04,23:36:10,7374,15,42,1487,792930
2026-02-03,23:39:59,7372,15,42,1486,792058
2026-02-02,23:31:17,7367,15,42,1484,789545
2026-02-01,23:17:00,7367,15,42,1484,789545
2026-01-31,23:15:14,7367,15,42,1484,789545
2026-01-30,23:25:41,7367,15,42,1484,789545
2026-01-29,23:27:24,7352,15,42,1477,786957
2026-01-28,23:22:46,7340,15,42,1473,785165
2026-01-27,23:19:49,7330,15,42,1467,783557
2026-01-26,23:20:21,7321,15,42,1463,780418
2026-01-25,23:09:18,7321,15,42,1463,780418
2026-01-24,23:09:03,7321,15,42,1463,780418
2026-01-23,23:13:36,7321,15,42,1463,780418
2026-01-22,23:20:16,7277,15,42,1462,776531
2026-01-21,23:37:30,7264,15,42,1456,775006
2026-01-20,23:20:33,7250,15,42,1456,773779
2026-01-19,23:14:06,7225,15,42,1452,770428
2026-01-18,23:08:34,7219,15,42,1442,768055
2026-01-17,23:07:11,7175,15,42,1442,767081
2026-01-16,23:14:15,7175,15,42,1442,767081
2026-01-15,23:23:50,7157,15,42,1438,764139
2026-01-14,23:17:44,7132,15,42,1437,763127
2026-01-13,23:17:57,7100,15,42,1434,761361
2026-01-12,23:12:15,7082,15,42,1431,759813
2026-01-11,23:08:23,7070,15,42,1426,758738
2026-01-10,23:08:01,7070,15,42,1426,758738
2026-01-09,23:13:19,7070,15,42,1426,758738
2026-01-08,23:17:58,7056,15,42,1426,757898
2026-01-07,23:16:46,7046,15,42,1424,756945
2026-01-06,23:13:53,7030,15,42,1421,755507
2026-01-05,23:13:49,7018,15,42,1416,754171
2026-01-04,23:08:05,7016,15,42,1414,753197
2026-01-03,23:07:50,7016,15,42,1414,753197
2026-01-02,23:08:38,7016,15,42,1414,752647
2026-01-01,23:10:18,7002,14,42,1412,751812
2025-12-31,23:08:50,7001,14,42,1412,751812
2025-12-30,23:10:45,6994,14,42,1412,750388
2025-12-29,23:09:23,6985,14,42,1411,748490
2025-12-28,23:08:40,6974,14,42,1409,745743
2025-12-27,23:07:23,6969,14,42,1409,745743
2025-12-26,23:07:39,6947,14,42,1409,745743
2025-12-25,23:08:50,6947,14,42,1409,745743
2025-12-24,23:08:16,6947,14,42,1409,745743
2025-12-23,23:11:16,6935,14,42,1407,744228
2025-12-22,23:09:34,6901,14,42,1400,742379
2025-12-21,23:06:58,6894,14,42,1398,740679
2025-12-20,23:06:03,6894,14,42,1398,740679
2025-12-19,23:06:00,6894,14,42,1398,740679
2025-12-18,23:13:46,6881,14,42,1390,738192
2025-12-17,23:13:01,6863,14,42,1383,735660
2025-12-16,23:14:34,6847,14,42,1374,732258
2025-12-15,23:14:22,6822,14,42,1357,728948
2025-12-14,23:06:54,6806,14,42,1350,725869
2025-12-13,23:05:46,6806,14,42,1350,725869
2025-12-12,23:10:31,6806,14,42,1350,725869
2025-12-11,23:20:40,6795,14,42,1344,723882
2025-12-10,23:13:19,6782,14,42,1337,721036
2025-12-09,23:10:34,6769,14,42,1332,719659
2025-12-08,23:10:37,6761,14,42,1324,718729
2025-12-07,23:04:43,6741,14,42,1319,715458
2025-12-06,23:05:02,6741,14,42,1319,715458
2025-12-05,23:09:00,6741,14,42,1321,715458
2025-12-04,23:12:46,6717,14,42,1308,711171
2025-12-03,23:12:16,6705,14,42,1304,708803
2025-12-02,23:13:00,6698,14,42,1300,707575
2025-12-01,23:15:17,6687,14,42,1297,706566
2025-11-30,23:06:09,6679,14,42,1294,705735
2025-11-29,23:05:53,6679,14,42,1295,705735
2025-11-28,23:06:51,6679,14,42,1295,705690
2025-11-27,23:06:32,6658,14,42,1286,702606
2025-11-26,23:08:50,6643,14,42,1280,700401
2025-11-25,23:09:53,6627,14,42,1274,697905
2025-11-24,23:09:32,6617,14,42,1268,695979
2025-11-23,23:05:03,6608,14,42,1263,694395
2025-11-22,23:04:06,6607,14,42,1263,694395
2025-11-21,23:07:25,6607,14,42,1263,694395
2025-11-20,23:06:32,6591,14,42,1255,691914
2025-11-19,23:04:54,6541,14,42,1253,690450
2025-11-18,23:08:57,6534,14,42,1250,689660
2025-11-17,23:09:02,6528,14,42,1246,688703
2025-11-16,23:04:34,6527,14,42,1245,688506
2025-11-15,23:03:02,6527,14,42,1245,688506
2025-11-14,23:08:01,6527,14,42,1245,688506
2025-11-13,23:09:43,6527,14,42,1246,688473
2025-11-12,23:08:50,6515,14,42,1240,686245
2025-11-11,23:08:44,6510,14,42,1236,685483
2025-11-10,23:06:46,6491,14,42,1231,683575
2025-11-09,23:03:16,6480,14,42,1226,682263
2025-11-08,23:03:06,6480,14,42,1226,682263
2025-11-07,23:07:19,6480,14,42,1226,682263
2025-11-06,23:09:15,6464,14,42,1223,680312
2025-11-05,23:08:11,6462,14,42,1219,679562
2025-11-04,23:07:37,6457,14,42,1205,678946
2025-11-03,23:07:32,6444,14,42,1198,677407
2025-11-02,23:03:33,6444,14,42,1198,677407
2025-11-01,23:01:57,6444,14,42,1198,677407
2025-10-31,23:07:50,6444,14,42,1198,677407
2025-10-30,23:08:49,6441,14,42,1197,676233
2025-10-29,23:08:57,6441,14,42,1196,676141
2025-10-28,23:08:54,6418,15,42,1192,670585
2025-10-27,23:07:03,6338,15,42,1186,669247
2025-10-26,23:03:49,6323,15,42,1179,666847
2025-10-25,23:03:32,6323,15,42,1179,666847
2025-10-24,23:06:29,6323,15,42,1179,666847
2025-10-23,23:06:50,6318,15,42,1175,666145
2025-10-22,23:03:28,6309,15,42,1170,664867
2025-10-21,23:06:59,6307,15,42,1067,663995
2025-10-20,23:06:50,6301,15,42,1065,661775
2025-10-19,23:02:44,6295,15,42,1065,661775
2025-10-18,23:01:50,6295,15,42,1065,661775
2025-10-17,23:05:03,6295,15,42,1065,661561
2025-10-16,23:07:03,6289,15,42,1062,658576
2025-10-15,23:06:16,6289,15,42,1063,657131
2025-10-14,23:03:08,6268,15,42,1056,653582
2025-10-13,23:05:05,6252,15,42,1054,652239
2025-10-12,23:01:42,6248,15,42,1054,650301
2025-10-11,23:01:28,6086,15,42,1054,650301
2025-10-10,23:04:30,6086,15,42,1054,650301
2025-10-09,23:07:42,6064,15,42,1054,650301
2025-10-08,23:06:34,6064,15,42,1054,650301
2025-10-07,23:06:01,6043,15,42,1050,648574
2025-10-06,23:05:45,6039,15,42,1048,648407
2025-10-05,23:02:02,6027,15,42,1049,647513
2025-10-04,23:01:23,6027,15,42,1049,647513
2025-10-03,23:03:30,6027,15,42,1049,647513
2025-10-02,23:03:25,6007,15,42,1046,646427
2025-10-01,23:06:16,6007,15,42,1046,646427
2025-09-30,23:05:57,6007,15,42,1046,646427
